polygon_exterior_ring_edge_id,mounting_plane_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z,polygon_exterior_ring_winding_direction
17,3,0.0,0.0,,sharedconcave,-11.312992488,27.887796168,219.047251104,,130.045279752,-80.064963192,156.342524688,
22,4,0.0,0.0,,,312.553159608,-55.608269496,156.342524688,,130.045279752,-80.064963192,156.342524688,
43,9,0.0,0.0,,sharedconvex,327.694892376,200.202762312,156.342524688,,275.190953688,167.230320312,184.472446848,
42,9,0.0,0.0,,sharedconvex,275.190953688,167.230320312,184.472446848,,288.683080104,225.899613528,156.342524688,
50,10,0.0,0.0,,sharedconvex,275.190953688,167.230320312,184.472446848,,253.679141976,139.14370524,196.960636224,
23,4,0.0,0.0,,sharedconvex,153.761815944,65.655513912,226.779534816,,312.553159608,-55.608269496,156.342524688,
10,2,0.0,0.0,,,-107.915357784,-70.663388088,219.795282624,,-90.71850684,-199.021659912,219.795282624,
53,11,0.0,0.0,,wallup,314.722451016,65.124017832,121.37795664,,320.155522056,73.883860632,118.11024,
6,1,0.0,0.0,,sharedconvex,-291.332686488,-225.899613528,219.795282624,,-204.466541976,-112.151578392,270.25591416,
44,10,0.0,0.0,,sharedconvex,288.683080104,225.899613528,156.342524688,,275.190953688,167.230320312,184.472446848,
5,1,0.0,0.0,,sharedconvex,-204.466541976,-112.151578392,270.25591416,,-90.71850684,-199.021659912,219.795282624,
83,17,0.0,0.0,,sharedconvex,-48.372048792,-20.63976444,240.574810848,,141.509847048,-165.651580104,156.342524688,
31,6,0.0,0.0,,,314.722451016,65.124017832,156.342524688,,296.698828392,62.710631928,156.342524688,
54,11,0.0,0.0,,wallup,296.698828392,62.710631928,130.440949056,,314.722451016,65.124017832,121.37795664,
7,2,0.0,0.0,,sharedconvex,-226.529534808,52.501970184,270.25591416,,-139.663390296,166.25000532,219.795282624,
66,13,0.0,0.0,,wallup,140.017721016,-154.513784472,140.311028112,,130.045279752,-80.064963192,140.311028112,
30,6,0.0,0.0,,sharedconcave,296.698828392,62.710631928,156.342524688,,205.12795932,132.639768024,196.960636224,
3,0,0.0,0.0,,sharedconvexpeak,-226.529534808,52.501970184,270.25591416,,-204.466541976,-112.151578392,270.25591416,
61,12,0.0,0.0,,,-154.75394196,-34.895670408,240.574810848,,-118.98622428,11.93897676,219.795282624,
74,16,0.0,0.0,,,-142.03740612,165.931107672,119.322838464,,-142.360240776,168.340556568,118.11024,
75,16,0.0,0.0,,wallup,-139.663390296,166.25000532,119.322838464,,-142.03740612,165.931107672,119.322838464,
49,10,0.0,0.0,,sharedconvexpeak,253.679141976,139.14370524,196.960636224,,205.12795932,132.639768024,196.960636224,
26,5,0.0,0.0,,,296.698828392,62.710631928,156.342524688,,312.553159608,-55.608269496,156.342524688,
36,8,0.0,0.0,,sharedconvex,275.190953688,167.230320312,184.472446848,,327.694892376,200.202762312,156.342524688,
63,13,0.0,0.0,,,184.151580696,-148.600398456,118.11024,,140.017721016,-154.513784472,140.311028112,
14,3,0.0,0.0,,sharedconvex,-48.372048792,-20.63976444,240.574810848,,-11.312992488,27.887796168,219.047251104,
57,12,0.0,0.0,,sharedconvexpeak,130.966539624,46.950788904,219.047251104,,-11.312992488,27.887796168,219.047251104,
79,16,0.0,0.0,,,-142.360240776,168.340556568,118.11024,,-14.486220936,185.474415384,118.11024,
76,16,0.0,0.0,,wallup,-135.887799624,138.088587096,133.488193248,,-139.663390296,166.25000532,119.322838464,
47,10,0.0,0.0,,sharedconvexpeak,153.761815944,65.655513912,226.779534816,,144.273626664,64.423230408,226.779534816,
38,8,0.0,0.0,,sharedconvex,279.659457768,119.30118492,185.437013808,,253.679141976,139.14370524,196.960636224,
40,8,0.0,0.0,,,327.694892376,200.202762312,156.342524688,,340.277569944,106.316932536,156.342524688,
73,15,0.0,0.0,,sharedconvex,-14.57677212,186.163391784,156.342524688,,144.273626664,64.423230408,226.779534816,
77,16,0.0,0.0,,wallup,-10.391732616,154.903548264,133.488193248,,-135.887799624,138.088587096,133.488193248,
58,12,0.0,0.0,,sharedconcave,-10.391732616,154.903548264,156.342524688,,130.966539624,46.950788904,219.047251104,
68,14,0.0,0.0,,sharedconvex,-139.663390296,166.25000532,219.795282624,,-226.529534808,52.501970184,270.25591416,
25,5,0.0,0.0,,sharedconvex,312.553159608,-55.608269496,156.342524688,,153.761815944,65.655513912,226.779534816,
41,9,0.0,0.0,,,288.683080104,225.899613528,156.342524688,,327.694892376,200.202762312,156.342524688,
51,11,0.0,0.0,,,334.836624888,-35.667323976,118.11024,,310.320876072,-38.950788648,130.440949056,
71,15,0.0,0.0,,sharedconcave,130.966539624,46.950788904,219.047251104,,-10.391732616,154.903548264,156.342524688,
15,3,0.0,0.0,,sharedconvex,141.509847048,-165.651580104,156.342524688,,-48.372048792,-20.63976444,240.574810848,
62,12,0.0,0.0,,sharedconvexpeak,-48.372048792,-20.63976444,240.574810848,,-154.75394196,-34.895670408,240.574810848,
39,8,0.0,0.0,,sharedconvex,340.277569944,106.316932536,156.342524688,,279.659457768,119.30118492,185.437013808,
1,0,0.0,0.0,,,-291.332686488,-225.899613528,219.795282624,,-340.277569944,139.368114696,219.795282624,
65,13,0.0,0.0,,wallup,130.045279752,-80.064963192,140.311028112,,174.175202424,-74.151577176,118.11024,
82,17,0.0,0.0,,,141.509847048,-165.651580104,156.342524688,,-91.01378244,-196.809061416,156.342524688,
59,12,0.0,0.0,,,-135.887799624,138.088587096,156.342524688,,-10.391732616,154.903548264,156.342524688,
81,17,0.0,0.0,,wallup,-91.01378244,-196.809061416,156.342524688,,-107.915357784,-70.663388088,219.795282624,
27,5,0.0,0.0,,sharedconcave,205.12795932,132.639768024,196.960636224,,296.698828392,62.710631928,156.342524688,
11,2,0.0,0.0,,,-154.75394196,-34.895670408,240.574810848,,-107.915357784,-70.663388088,219.795282624,
69,14,0.0,0.0,,,-340.277569944,139.368114696,219.795282624,,-139.663390296,166.25000532,219.795282624,
46,10,0.0,0.0,,sharedconvex,144.273626664,64.423230408,226.779534816,,-14.57677212,186.163391784,156.342524688,
60,12,0.0,0.0,,wallup,-118.98622428,11.93897676,219.795282624,,-135.887799624,138.088587096,156.342524688,
35,7,0.0,0.0,,sharedconvex,314.722451016,65.124017832,156.342524688,,279.659457768,119.30118492,185.437013808,
28,6,0.0,0.0,,sharedconvex,253.679141976,139.14370524,196.960636224,,279.659457768,119.30118492,185.437013808,
56,12,0.0,0.0,,sharedconvex,-11.312992488,27.887796168,219.047251104,,-48.372048792,-20.63976444,240.574810848,
33,7,0.0,0.0,,,340.277569944,106.316932536,156.342524688,,314.722451016,65.124017832,156.342524688,
52,11,0.0,0.0,,,320.155522056,73.883860632,118.11024,,334.836624888,-35.667323976,118.11024,
70,15,0.0,0.0,,,-10.391732616,154.903548264,156.342524688,,-14.57677212,186.163391784,156.342524688,
