site_model_obstruction_id,roof_id,center_x,center_y,center_z,feature_name,radius,shape_type
2,7,-325.67900670299076,104.74802973535635,164.15036611355706,Circle,6.0,Circle
7,7,,,,Rectangle,0.0,Ring
3,7,-320.3089200330687,72.0078716543016,159.09324721804813,Circle,3.598425196850395,Circle
6,7,-103.37204691638613,-230.2204387136849,148.68109508953842,Circle,7.2007874015748,Circle
5,7,-329.4506589246699,-123.76378056737836,161.82464865809075,Circle,4.200787401574805,Circle
4,7,-285.738058216662,-127.40157506200688,147.6138201810369,Circle,3.0,Circle
0,7,-510.1830724663658,103.43324862334045,131.4611683064145,Circle,2.401574803149605,Circle
1,7,-326.2931729627563,-185.38582036229985,163.26876067438448,Circle,6.0,Circle
7,1,307.5539160732458,397.6899782778332,75.48286892179902,Service Drop,2.0,Circle
5,1,273.18562822213056,384.22815112838026,67.86706849757684,DWV-Plastic,2.0,Circle
8,1,320.2922018842232,224.10926284138563,69.11957447725557,Circle (H),4.0,Circle
4,1,298.42606888581696,299.8212784513622,57.68405819944797,Circle (H),4.0,Circle
1,1,10.200301703555017,-288.62278082367357,35.63274149781289,Circle (H),4.0,Circle
0,1,84.34925993559281,-343.38638721653354,40.33630927943354,DWV-Plastic,1.5,Circle
3,1,120.88854786164472,-136.4439043270579,28.261361288752575,DWV-Plastic,1.5,Circle
6,1,309.808864022065,299.64246321626547,56.05609448052137,DWV-Plastic,1.5,Circle
2,1,120.04035272672776,-190.43724248106636,26.927945710363073,Circle (H),3.5,Circle
5,2,,,,Rectangle,0.0,Ring
2,2,,,,Rectangle,0.0,Ring
3,2,,,,Rectangle,0.0,Ring
1,2,,,,Rectangle,0.0,Ring
4,2,,,,Rectangle,0.0,Ring
0,2,,,,Rectangle,0.0,Ring
10,8,,,,Rectangle,0.0,Ring
12,8,-331.70478374813894,74.90864308988536,377.32474928939706,DWV-Plastic,3.0,Circle
1,8,,,,Rectangle,0.0,Ring
18,8,,,,Rectangle,0.0,Ring
13,8,,,,Rectangle,0.0,Ring
0,8,,,,Rectangle,0.0,Ring
15,8,,,,Rectangle,0.0,Ring
6,8,9.693616611141188,66.09217413456815,446.9810356708829,Circle,6.0,Circle
2,8,,,,Rectangle,0.0,Ring
17,8,,,,Rectangle,0.0,Ring
8,8,,,,Rectangle,0.0,Ring
4,8,39.568960673548105,-75.7754897304331,600.8471333209116,DWV-Plastic,3.5,Circle
11,8,,,,Rectangle,0.0,Ring
5,8,36.19663353858494,-60.291785190704886,583.1898237841483,DWV-Plastic,3.0,Circle
14,8,329.3882726000615,-548.9839218555628,428.9556877541888,Circle,6.0,Circle
16,8,174.89394865043883,-300.150547010746,355.8362767581136,DWV-Plastic,3.0,Circle
7,8,-114.45887688397164,86.33722867735037,394.3950868663522,DWV-Plastic,3.5,Circle
3,8,-99.96498490518567,170.15694022471098,318.45553279640717,DWV-Plastic,12.0,Circle
9,8,120.84031726882232,-385.8863104883053,560.9674544945307,DWV-Plastic,3.5,Circle
